week,net_pnl,gross_pnl,costs,trading_days,positive
2023-01-30/2023-02-05,-12476.684570145,-11657.5,819.1845701450001,5,False
2023-02-06/2023-02-12,-5924.7767949849995,-5177.499999999999,747.2767949849999,5,False
2023-02-13/2023-02-19,1294.0858392950004,2037.5000000000005,743.414160705,5,True
2023-02-20/2023-02-26,-210.68020664500045,537.4999999999998,748.180206645,5,False
2023-02-27/2023-03-05,-1725.62133842,-985.0,740.62133842,5,False
2023-03-06/2023-03-12,-3482.89739937,-2895.0,587.89739937,4,False
2023-03-13/2023-03-19,11275.584315665,12067.5,791.915684335,5,True
2023-03-20/2023-03-26,-6071.544952679999,-5315.0,756.54495268,5,False
2023-03-27/2023-04-02,-2970.6369957400007,-2375.0000000000005,595.63699574,4,False
2023-04-03/2023-04-09,-3292.1191242450004,-2857.5,434.61912424499997,3,False
2023-04-10/2023-04-16,-2743.668618705,-2167.5,576.168618705,4,False
2023-04-17/2023-04-23,-4572.796322550001,-3845.0000000000005,727.79632255,5,False
2023-04-24/2023-04-30,-460.987213615,267.5,728.487213615,5,False
2023-05-01/2023-05-07,-1311.2927118800003,-730.0000000000002,581.2927118800001,4,False
2023-05-08/2023-05-14,-2939.071990355,-2207.5,731.571990355,5,False
2023-05-15/2023-05-21,-2680.0486139649997,-1947.4999999999995,732.5486139650001,5,False
2023-05-22/2023-05-28,245.4575612900012,980.0000000000011,734.5424387099999,5,True
2023-05-29/2023-06-04,-4359.4482716600005,-3630.0,729.44827166,5,False
2023-06-05/2023-06-11,-2985.5858910800002,-2260.0,725.58589108,5,False
2023-06-12/2023-06-18,-1701.5623389999998,-974.9999999999998,726.562339,5,False
2023-06-19/2023-06-25,-2407.25684441,-1680.0,727.25684441,5,False
2023-06-26/2023-07-02,-2500.0270418449995,-1917.4999999999995,582.527041845,4,False
2023-07-03/2023-07-09,-2773.5597666400017,-2035.0000000000018,738.55976664,5,False
2023-07-10/2023-07-16,-3778.72567494,-3050.0,728.72567494,5,False
2023-07-17/2023-07-23,-1587.4493756,-839.9999999999999,747.4493755999999,5,False
2023-07-24/2023-07-30,-5356.39376857,-4615.0,741.39376857,5,False
