ts,norm_date,local_time,trading_day,strike,option_type,open_px,close_px,feature_day,bucket,expiry,atm
2021-07-05 09:32:00,2021-07-05,09:32:00,2021-07-05,16000.0,CE,10.0,9.9,2021-07-05,0,2021-07-08,15800
2021-07-05 09:32:00,2021-07-05,09:32:00,2021-07-05,16000.0,CE,10.0,9.9,2021-07-05,0,2021-07-08,15800
2021-07-05 09:32:00,2021-07-05,09:32:00,2021-07-05,16000.0,PE,198.8,200.75,2021-07-05,0,2021-07-08,15800
2021-07-05 09:32:00,2021-07-05,09:32:00,2021-07-05,16000.0,PE,198.8,200.75,2021-07-05,0,2021-07-08,15800
2021-07-05 09:33:00,2021-07-05,09:33:00,2021-07-05,15600.0,CE,220.65,219.2,2021-07-05,0,2021-07-08,15800
2021-07-05 09:33:00,2021-07-05,09:33:00,2021-07-05,15600.0,CE,220.65,219.2,2021-07-05,0,2021-07-08,15800
2021-07-05 09:33:00,2021-07-05,09:33:00,2021-07-05,15600.0,PE,11.65,12.0,2021-07-05,0,2021-07-08,15800
2021-07-05 09:33:00,2021-07-05,09:33:00,2021-07-05,15600.0,PE,11.65,12.0,2021-07-05,0,2021-07-08,15800
2021-07-05 09:33:00,2021-07-05,09:33:00,2021-07-05,15800.0,CE,71.35,70.5,2021-07-05,0,2021-07-08,15800
2021-07-05 09:33:00,2021-07-05,09:33:00,2021-07-05,15800.0,CE,71.35,70.5,2021-07-05,0,2021-07-08,15800
2021-07-05 09:33:00,2021-07-05,09:33:00,2021-07-05,15800.0,PE,61.15,62.4,2021-07-05,0,2021-07-08,15800
2021-07-05 09:33:00,2021-07-05,09:33:00,2021-07-05,16000.0,CE,9.95,9.7,2021-07-05,0,2021-07-08,15800
2021-07-05 09:33:00,2021-07-05,09:33:00,2021-07-05,16000.0,CE,9.95,9.7,2021-07-05,0,2021-07-08,15800
2021-07-05 09:33:00,2021-07-05,09:33:00,2021-07-05,16000.0,PE,200.05,201.6,2021-07-05,0,2021-07-08,15800
2021-07-05 09:33:00,2021-07-05,09:33:00,2021-07-05,16000.0,PE,200.05,201.6,2021-07-05,0,2021-07-08,15800
2021-07-05 09:34:00,2021-07-05,09:34:00,2021-07-05,15600.0,CE,219.35,219.0,2021-07-05,0,2021-07-08,15800
2021-07-05 09:34:00,2021-07-05,09:34:00,2021-07-05,15600.0,CE,219.35,219.0,2021-07-05,0,2021-07-08,15800
2021-07-05 09:34:00,2021-07-05,09:34:00,2021-07-05,15600.0,PE,11.85,11.8,2021-07-05,0,2021-07-08,15800
2021-07-05 09:34:00,2021-07-05,09:34:00,2021-07-05,15600.0,PE,11.85,11.8,2021-07-05,0,2021-07-08,15800
2021-07-05 09:34:00,2021-07-05,09:34:00,2021-07-05,15800.0,CE,70.75,69.95,2021-07-05,0,2021-07-08,15800
2021-07-05 09:34:00,2021-07-05,09:34:00,2021-07-05,15800.0,CE,70.75,69.95,2021-07-05,0,2021-07-08,15800
2021-07-05 09:34:00,2021-07-05,09:34:00,2021-07-05,15800.0,PE,62.05,62.35,2021-07-05,0,2021-07-08,15800
2021-07-05 09:34:00,2021-07-05,09:34:00,2021-07-05,16000.0,CE,9.75,9.65,2021-07-05,0,2021-07-08,15800
2021-07-05 09:34:00,2021-07-05,09:34:00,2021-07-05,16000.0,CE,9.75,9.65,2021-07-05,0,2021-07-08,15800
2021-07-05 09:34:00,2021-07-05,09:34:00,2021-07-05,16000.0,PE,201.2,202.55,2021-07-05,0,2021-07-08,15800
2021-07-05 09:34:00,2021-07-05,09:34:00,2021-07-05,16000.0,PE,201.2,202.55,2021-07-05,0,2021-07-08,15800
2021-07-05 09:35:00,2021-07-05,09:35:00,2021-07-05,15600.0,CE,219.4,219.6,2021-07-05,0,2021-07-08,15800
2021-07-05 09:35:00,2021-07-05,09:35:00,2021-07-05,15600.0,CE,219.4,219.6,2021-07-05,0,2021-07-08,15800
2021-07-05 09:35:00,2021-07-05,09:35:00,2021-07-05,15600.0,PE,11.8,11.9,2021-07-05,0,2021-07-08,15800
2021-07-05 09:35:00,2021-07-05,09:35:00,2021-07-05,15600.0,PE,11.8,11.9,2021-07-05,0,2021-07-08,15800
2021-07-05 09:35:00,2021-07-05,09:35:00,2021-07-05,15800.0,CE,70.0,70.1,2021-07-05,0,2021-07-08,15800
2021-07-05 09:35:00,2021-07-05,09:35:00,2021-07-05,15800.0,CE,70.0,70.1,2021-07-05,0,2021-07-08,15800
2021-07-05 09:35:00,2021-07-05,09:35:00,2021-07-05,15800.0,PE,62.5,62.5,2021-07-05,0,2021-07-08,15800
2021-07-05 09:35:00,2021-07-05,09:35:00,2021-07-05,16000.0,CE,9.6,9.7,2021-07-05,0,2021-07-08,15800
2021-07-05 09:35:00,2021-07-05,09:35:00,2021-07-05,16000.0,CE,9.6,9.7,2021-07-05,0,2021-07-08,15800
2021-07-05 09:35:00,2021-07-05,09:35:00,2021-07-05,16000.0,PE,201.7,202.3,2021-07-05,0,2021-07-08,15800
2021-07-05 09:35:00,2021-07-05,09:35:00,2021-07-05,16000.0,PE,201.7,202.3,2021-07-05,0,2021-07-08,15800
2021-07-05 09:36:00,2021-07-05,09:36:00,2021-07-05,15600.0,CE,218.95,217.7,2021-07-05,0,2021-07-08,15800
2021-07-05 09:36:00,2021-07-05,09:36:00,2021-07-05,15600.0,CE,218.95,217.7,2021-07-05,0,2021-07-08,15800
2021-07-05 09:36:00,2021-07-05,09:36:00,2021-07-05,15600.0,PE,11.9,12.45,2021-07-05,0,2021-07-08,15800
2021-07-05 09:36:00,2021-07-05,09:36:00,2021-07-05,15600.0,PE,11.9,12.45,2021-07-05,0,2021-07-08,15800
